candidate_id,name,experience_years,education_level,in_salary_expectation,in_preferred_seniority,in_preferred_industries,in_preferred_locations,in_true_skills,resume_skills_raw,in_quality_score
C00043,Candidate_43,10,Bachelor,171141,Lead,"[""Technology"", ""Consulting"", ""Education""]","[""Chicago, IL""]","[""Java"", ""Tableau"", ""Statistics"", ""R"", ""JavaScript"", ""Communication""]","[""java"", ""data visualization"", ""Statistics"", ""R programming"", ""react"", ""presentation""]",0.32
C00044,Candidate_44,18,Master,206584,Lead,"[""Healthcare""]","[""Remote"", ""Austin, TX"", ""Los Angeles, CA""]","[""Project Management"", ""SQL"", ""Cloud"", ""Communication"", ""Java"", ""Python""]","[""Project Management"", ""Cloud"", ""communication"", ""java""]",0.663
C00045,Candidate_45,5,Bachelor,127079,Senior,"[""Media""]","[""San Francisco, CA""]","[""Excel"", ""R"", ""JavaScript"", ""Python""]","[""r"", ""node.js"", ""python""]",0.565
C00046,Candidate_46,4,Bachelor,114621,Mid,"[""Technology""]","[""Los Angeles, CA"", ""Atlanta, GA"", ""Austin, TX""]","[""Cloud"", ""Python"", ""R"", ""Docker"", ""Excel"", ""Project Management"", ""Statistics""]","[""py"", ""R programming"", ""excel"", ""stats""]",0.665
C00047,Candidate_47,16,Bachelor,164122,Lead,"[""Consulting"", ""Energy"", ""Manufacturing""]","[""Seattle, WA"", ""Remote"", ""Atlanta, GA"", ""Boston, MA""]","[""JavaScript"", ""Cloud"", ""Machine Learning""]","[""js"", ""Cloud"", ""AI/ML""]",0.731
C00048,Candidate_48,7,Bachelor,149475,Senior,"[""Media"", ""Retail""]","[""Atlanta, GA"", ""Austin, TX""]","[""Excel"", ""Communication"", ""Data Analysis"", ""NLP""]","[""excel"", ""data analysis"", ""NLP""]",0.901
C00049,Candidate_49,0,Master,64126,Entry,"[""Energy"", ""Technology""]","[""Seattle, WA""]","[""Java"", ""Tableau"", ""Communication""]","[""java"", ""tableau"", ""communication""]",0.806
C00050,Candidate_50,2,Master,124753,Mid,"[""Education""]","[""Atlanta, GA""]","[""JavaScript"", ""Leadership"", ""Project Management"", ""Tableau"", ""Cloud"", ""Statistics""]","[""js"", ""people management"", ""project management"", ""azure"", ""stats""]",0.759
C00051,Candidate_51,17,Associate,225481,Lead,"[""Media"", ""Manufacturing""]","[""Boston, MA""]","[""Java"", ""JavaScript"", ""SQL""]","[""java"", ""node.js""]",0.817
C00052,Candidate_52,11,Bachelor,216497,Lead,"[""Media"", ""Healthcare""]","[""Atlanta, GA"", ""Los Angeles, CA"", ""Boston, MA"", ""Chicago, IL""]","[""Leadership"", ""Communication"", ""TensorFlow"", ""Statistics""]","[""leadership"", ""Communication"", ""tensorflow"", ""statistics""]",0.607
C00053,Candidate_53,11,Associate,167597,Lead,"[""Manufacturing"", ""Finance""]","[""Atlanta, GA"", ""Boston, MA"", ""New York, NY""]","[""TensorFlow"", ""NLP"", ""JavaScript"", ""Statistics"", ""Tableau"", ""Java"", ""Python""]","[""tensorflow"", ""natural language processing"", ""javascript"", ""statistics"", ""tableau"", ""java"", ""Python""]",0.614
C00054,Candidate_54,0,Associate,71333,Entry,"[""Retail"", ""Transportation"", ""Consulting""]","[""Denver, CO"", ""Atlanta, GA"", ""San Francisco, CA""]","[""Project Management"", ""Docker"", ""SQL"", ""NLP"", ""Leadership"", ""JavaScript"", ""Tableau""]","[""agile"", ""people management"", ""react""]",0.528
C00055,Candidate_55,16,Master,181383,Lead,"[""Technology"", ""Energy""]","[""Boston, MA""]","[""Cloud"", ""Project Management"", ""Tableau"", ""Docker"", ""Data Analysis"", ""Machine Learning""]","[""cloud"", ""agile"", ""dataviz"", ""Data Analysis"", ""machine learning""]",0.645
C00056,Candidate_56,20,Bachelor,200973,Lead,"[""Finance""]","[""Chicago, IL""]","[""Leadership"", ""JavaScript"", ""TensorFlow"", ""Data Analysis"", ""SQL"", ""Python""]","[""team lead"", ""js"", ""TensorFlow"", ""Python""]",0.767
C00057,Candidate_57,1,Master,68214,Entry,"[""Retail"", ""Education"", ""Finance""]","[""New York, NY"", ""Los Angeles, CA"", ""San Francisco, CA"", ""Atlanta, GA""]","[""Statistics"", ""Tableau"", ""NLP"", ""R""]","[""Statistics"", ""data visualization"", ""nlp"", ""R""]",0.597
C00058,Candidate_58,18,Master,221286,Lead,"[""Media"", ""Technology"", ""Consulting""]","[""Atlanta, GA"", ""Chicago, IL"", ""San Francisco, CA"", ""Denver, CO""]","[""SQL"", ""Project Management"", ""R"", ""Statistics""]","[""postgres"", ""project management"", ""Statistics""]",0.6
C00059,Candidate_59,11,Master,225025,Lead,"[""Consulting"", ""Manufacturing""]","[""Denver, CO"", ""Chicago, IL""]","[""Machine Learning"", ""Excel"", ""NLP"", ""SQL"", ""Project Management""]","[""ML"", ""nlp"", ""MySQL"", ""Project Management""]",0.504
C00060,Candidate_60,5,PhD,146187,Senior,"[""Healthcare"", ""Technology"", ""Manufacturing""]","[""Los Angeles, CA""]","[""Statistics"", ""R"", ""Java"", ""JavaScript"", ""Docker"", ""Data Analysis""]","[""Statistics"", ""r"", ""Java"", ""node.js"", ""Docker"", ""data analytics""]",0.839
C00061,Candidate_61,3,Bachelor,110434,Mid,"[""Retail"", ""Education"", ""Finance""]","[""Remote""]","[""JavaScript"", ""NLP"", ""Java"", ""SQL"", ""Python"", ""Excel"", ""TensorFlow""]","[""JavaScript"", ""NLP"", ""Java"", ""SQL"", ""python"", ""Excel"", ""pytorch""]",0.603
C00062,Candidate_62,16,Master,168873,Lead,"[""Healthcare"", ""Technology""]","[""Seattle, WA"", ""Boston, MA"", ""Chicago, IL"", ""Remote""]","[""Data Analysis"", ""JavaScript"", ""Python"", ""Leadership""]","[""JavaScript"", ""python"", ""people management""]",0.684
C00063,Candidate_63,1,Bachelor,64166,Entry,"[""Education"", ""Transportation""]","[""Los Angeles, CA"", ""Seattle, WA"", ""Remote"", ""Atlanta, GA""]","[""Cloud"", ""Excel"", ""Communication"", ""TensorFlow"", ""NLP""]","[""AWS"", ""spreadsheets"", ""Communication"", ""tf"", ""nlp""]",0.57
C00064,Candidate_64,4,Associate,109468,Mid,"[""Energy""]","[""Seattle, WA"", ""Atlanta, GA""]","[""Docker"", ""TensorFlow"", ""Machine Learning"", ""Python"", ""Leadership"", ""Excel"", ""Java""]","[""kubernetes"", ""Machine Learning"", ""python"", ""people management"", ""Java""]",0.669
C00065,Candidate_65,13,High School,193017,Lead,"[""Retail"", ""Technology""]","[""New York, NY"", ""Boston, MA""]","[""TensorFlow"", ""Communication"", ""Leadership"", ""NLP"", ""Java"", ""Statistics""]","[""pytorch"", ""Communication"", ""leadership"", ""nlp"", ""java"", ""statistical analysis""]",0.327
C00066,Candidate_66,5,Master,153761,Senior,"[""Retail"", ""Finance"", ""Energy""]","[""New York, NY"", ""Austin, TX"", ""Atlanta, GA""]","[""Statistics"", ""Docker"", ""R"", ""Data Analysis"", ""JavaScript"", ""Python""]","[""statistics"", ""k8s"", ""r"", ""node.js"", ""py""]",0.62
C00067,Candidate_67,16,Bachelor,189504,Lead,"[""Education"", ""Media""]","[""Remote"", ""Denver, CO""]","[""Data Analysis"", ""Tableau"", ""Excel"", ""R"", ""Project Management"", ""TensorFlow"", ""Communication""]","[""data visualization"", ""Excel"", ""r"", ""PM"", ""TensorFlow"", ""presentation""]",0.507
C00068,Candidate_68,7,Bachelor,139721,Senior,"[""Transportation"", ""Media""]","[""Denver, CO"", ""Boston, MA""]","[""SQL"", ""R"", ""NLP"", ""Docker""]","[""SQL"", ""R""]",0.796
C00069,Candidate_69,14,Bachelor,179853,Lead,"[""Energy"", ""Education""]","[""Remote"", ""Denver, CO"", ""New York, NY"", ""Boston, MA""]","[""Python"", ""Leadership"", ""NLP"", ""Excel"", ""Docker"", ""SQL"", ""TensorFlow""]","[""people management"", ""natural language processing"", ""excel"", ""Docker"", ""postgres"", ""TensorFlow""]",0.716
C00070,Candidate_70,17,Bachelor,172466,Lead,"[""Finance"", ""Technology"", ""Education""]","[""New York, NY"", ""Los Angeles, CA"", ""Chicago, IL""]","[""Machine Learning"", ""Tableau"", ""Leadership""]","[""ML"", ""data visualization"", ""people management""]",0.558
C00071,Candidate_71,18,Bachelor,203313,Lead,"[""Media"", ""Technology"", ""Transportation""]","[""Denver, CO"", ""Austin, TX"", ""Los Angeles, CA""]","[""Java"", ""Tableau"", ""Leadership"", ""Data Analysis"", ""Project Management"", ""Python""]","[""java"", ""dataviz"", ""leadership"", ""analytics"", ""Project Management"", ""python""]",0.491
C00072,Candidate_72,11,Associate,223501,Lead,"[""Technology""]","[""New York, NY"", ""Chicago, IL"", ""San Francisco, CA""]","[""Cloud"", ""Statistics"", ""Project Management"", ""JavaScript""]","[""Cloud"", ""stats"", ""scrum"", ""JavaScript""]",0.459
C00073,Candidate_73,18,Master,211898,Lead,"[""Finance"", ""Healthcare""]","[""Remote"", ""Austin, TX"", ""Chicago, IL""]","[""Python"", ""Tableau"", ""Leadership"", ""NLP"", ""Excel""]","[""team lead"", ""natural language processing"", ""Excel""]",0.684
C00074,Candidate_74,1,Master,70314,Entry,"[""Healthcare""]","[""New York, NY"", ""Chicago, IL""]","[""Data Analysis"", ""NLP"", ""Java"", ""Tableau"", ""Statistics""]","[""data analysis"", ""natural language processing"", ""java"", ""statistical analysis""]",0.496
C00075,Candidate_75,19,Master,217844,Lead,"[""Manufacturing"", ""Technology""]","[""Los Angeles, CA""]","[""Data Analysis"", ""Leadership"", ""TensorFlow""]","[""data analysis"", ""team lead"", ""tf""]",0.855
C00076,Candidate_76,15,High School,197129,Lead,"[""Healthcare"", ""Technology""]","[""Atlanta, GA""]","[""Docker"", ""JavaScript"", ""Excel""]","[""k8s"", ""javascript"", ""excel""]",0.442
C00077,Candidate_77,9,Bachelor,176963,Senior,"[""Finance"", ""Retail""]","[""Denver, CO"", ""Atlanta, GA"", ""Austin, TX""]","[""Communication"", ""Leadership"", ""JavaScript"", ""TensorFlow"", ""R"", ""NLP""]","[""communication"", ""leadership"", ""js"", ""tf"", ""nlp""]",0.501
C00078,Candidate_78,18,Master,210922,Lead,"[""Education""]","[""Austin, TX"", ""Seattle, WA"", ""Los Angeles, CA"", ""Boston, MA""]","[""SQL"", ""Cloud"", ""Docker"", ""Machine Learning"", ""R""]","[""kubernetes"", ""machine learning""]",0.448
C00079,Candidate_79,15,Bachelor,164032,Lead,"[""Education"", ""Energy"", ""Retail""]","[""New York, NY"", ""Austin, TX""]","[""Java"", ""Leadership"", ""Docker"", ""NLP""]","[""java"", ""Leadership"", ""text mining""]",0.381
C00080,Candidate_80,11,Bachelor,200183,Lead,"[""Retail"", ""Finance"", ""Consulting""]","[""Atlanta, GA"", ""Boston, MA"", ""Austin, TX"", ""Los Angeles, CA""]","[""Leadership"", ""Statistics"", ""Excel""]","[""leadership"", ""statistics"", ""spreadsheets""]",0.659
C00081,Candidate_81,6,Bachelor,150242,Senior,"[""Retail""]","[""Atlanta, GA"", ""San Francisco, CA""]","[""SQL"", ""Cloud"", ""Docker"", ""Leadership""]","[""sql"", ""azure"", ""k8s"", ""people management""]",0.478
C00082,Candidate_82,12,Associate,210639,Lead,"[""Consulting"", ""Finance"", ""Healthcare""]","[""Atlanta, GA"", ""Chicago, IL""]","[""R"", ""Excel"", ""Cloud"", ""Tableau"", ""TensorFlow"", ""Leadership""]","[""R"", ""spreadsheets"", ""tableau"", ""tf"", ""leadership""]",0.774
C00083,Candidate_83,17,Master,206137,Lead,"[""Manufacturing""]","[""Remote"", ""Atlanta, GA""]","[""Python"", ""Statistics"", ""JavaScript"", ""Communication""]","[""Python3"", ""statistical analysis"", ""node.js"", ""Communication""]",0.605
C00084,Candidate_84,17,Bachelor,211557,Lead,"[""Media"", ""Technology""]","[""Denver, CO"", ""Chicago, IL""]","[""Data Analysis"", ""NLP"", ""SQL"", ""Communication""]","[""NLP"", ""sql"", ""communication""]",0.315
C00085,Candidate_85,8,Bachelor,131577,Senior,"[""Finance"", ""Education""]","[""Boston, MA"", ""San Francisco, CA""]","[""Leadership"", ""Docker"", ""Statistics"", ""SQL"", ""Machine Learning"", ""Project Management"", ""TensorFlow""]","[""Leadership"", ""k8s"", ""stats"", ""Machine Learning"", ""scrum"", ""TensorFlow""]",0.47
C00086,Candidate_86,12,Master,195924,Lead,"[""Education"", ""Energy"", ""Manufacturing""]","[""Chicago, IL""]","[""R"", ""TensorFlow"", ""NLP"", ""Cloud""]","[""R programming"", ""pytorch"", ""NLP"", ""AWS""]",0.591
C00087,Candidate_87,15,Bachelor,195427,Lead,"[""Manufacturing""]","[""Austin, TX"", ""Seattle, WA"", ""San Francisco, CA"", ""Los Angeles, CA""]","[""R"", ""Java"", ""Docker"", ""TensorFlow""]","[""Java"", ""docker"", ""tensorflow""]",0.785
C00088,Candidate_88,17,Master,225550,Lead,"[""Transportation"", ""Healthcare""]","[""Los Angeles, CA"", ""San Francisco, CA""]","[""Communication"", ""JavaScript"", ""Tableau""]","[""presentation"", ""JavaScript"", ""dataviz""]",0.52
C00089,Candidate_89,20,Bachelor,234585,Lead,"[""Consulting""]","[""Seattle, WA"", ""Remote"", ""Boston, MA""]","[""Communication"", ""Cloud"", ""Leadership"", ""JavaScript"", ""SQL"", ""Statistics""]","[""Communication"", ""Cloud"", ""leadership"", ""postgres""]",0.55
C00090,Candidate_90,10,High School,197680,Lead,"[""Healthcare""]","[""New York, NY""]","[""Excel"", ""Docker"", ""Machine Learning"", ""TensorFlow"", ""Tableau""]","[""Excel"", ""kubernetes"", ""AI/ML"", ""tensorflow"", ""Tableau""]",0.367
C00091,Candidate_91,10,Master,171463,Lead,"[""Retail"", ""Technology""]","[""Austin, TX""]","[""Leadership"", ""R"", ""SQL"", ""TensorFlow"", ""Machine Learning""]","[""leadership"", ""R programming"", ""SQL"", ""TensorFlow"", ""ML""]",0.783
C00092,Candidate_92,15,High School,197168,Lead,"[""Finance""]","[""Los Angeles, CA""]","[""JavaScript"", ""Docker"", ""Tableau"", ""Leadership"", ""Data Analysis""]","[""react"", ""Docker"", ""data visualization"", ""team lead"", ""analytics""]",0.261
C00093,Candidate_93,9,Bachelor,123825,Senior,"[""Transportation"", ""Healthcare"", ""Media""]","[""Denver, CO""]","[""Leadership"", ""Docker"", ""SQL"", ""Cloud"", ""Python"", ""JavaScript""]","[""kubernetes"", ""sql"", ""azure"", ""python"", ""node.js""]",0.633
C00094,Candidate_94,4,Bachelor,115647,Mid,"[""Education"", ""Media""]","[""New York, NY"", ""San Francisco, CA""]","[""R"", ""Statistics"", ""Java"", ""Project Management"", ""Tableau"", ""TensorFlow""]","[""r"", ""java"", ""PM"", ""Tableau"", ""pytorch""]",0.592
C00095,Candidate_95,8,Master,166931,Senior,"[""Healthcare""]","[""New York, NY"", ""Boston, MA"", ""Atlanta, GA"", ""Remote""]","[""Java"", ""Leadership"", ""Python""]","[""java"", ""leadership"", ""py""]",0.642
C00096,Candidate_96,5,Master,177546,Senior,"[""Education"", ""Media""]","[""Los Angeles, CA"", ""Atlanta, GA""]","[""Project Management"", ""Excel"", ""R"", ""Machine Learning"", ""Python"", ""Java"", ""SQL""]","[""project management"", ""spreadsheets"", ""r"", ""AI/ML"", ""python"", ""java"", ""sql""]",0.69
C00097,Candidate_97,3,Bachelor,109346,Mid,"[""Healthcare"", ""Education"", ""Transportation""]","[""San Francisco, CA"", ""Denver, CO""]","[""Machine Learning"", ""JavaScript"", ""Cloud"", ""SQL"", ""Data Analysis"", ""NLP""]","[""machine learning"", ""azure"", ""SQL"", ""data analysis"", ""text mining""]",0.754
