job_id,company_id,title,seniority,location,industry,in_actual_salary,in_salary_min,in_salary_max,required_skills_raw,in_required_skills_normalized,posted_date
J00018,CO0043,Lead Transportation Role,Lead,"Denver, CO",Transportation,162478,143000,203000,"[""java"", ""tf""]","[""Java"", ""TensorFlow""]",2024-02-01
J00019,CO0035,Entry Retail Role,Entry,"Austin, TX",Retail,60905,50000,75000,"[""analytics"", ""azure"", ""javascript"", ""Excel""]","[""Data Analysis"", ""Cloud"", ""JavaScript"", ""Excel""]",2024-02-20
J00020,CO0118,Mid Media Role,Mid,"Austin, TX",Media,103477,75000,110000,"[""project management"", ""sql"", ""ML""]","[""Project Management"", ""SQL"", ""Machine Learning""]",2024-01-14
J00021,CO0035,Mid Retail Role,Mid,"Denver, CO",Retail,106263,73000,108000,"[""presentation"", ""nlp"", ""data visualization""]","[""Communication"", ""NLP"", ""Tableau""]",2024-02-23
J00022,CO0027,Senior Consulting Role,Senior,"Boston, MA",Consulting,155549,127000,167000,"[""team lead"", ""Communication"", ""PostgreSQL"", ""deep learning""]","[""Leadership"", ""Communication"", ""SQL"", ""Machine Learning""]",2024-01-29
J00023,CO0161,Lead Healthcare Role,Lead,"New York, NY",Healthcare,188567,153000,213000,"[""py"", ""NLP""]","[""Python"", ""NLP""]",2024-01-19
J00024,CO0027,Mid Consulting Role,Mid,"Boston, MA",Consulting,97744,92000,127000,"[""NLP"", ""stats"", ""machine learning"", ""R"", ""Python""]","[""NLP"", ""Statistics"", ""Machine Learning"", ""R"", ""Python""]",2024-02-27
J00025,CO0142,Senior Transportation Role,Senior,"New York, NY",Transportation,156357,133000,173000,"[""java"", ""Data Analysis"", ""Tableau""]","[""Java"", ""Data Analysis"", ""Tableau""]",2024-02-10
J00026,CO0178,Entry Manufacturing Role,Entry,"San Francisco, CA",Manufacturing,88421,85000,110000,"[""dataviz"", ""Excel"", ""Python""]","[""Tableau"", ""Excel"", ""Python""]",2024-01-07
J00027,CO0077,Entry Consulting Role,Entry,"Denver, CO",Consulting,69442,53000,78000,"[""presentation"", ""leadership"", ""tableau""]","[""Communication"", ""Leadership"", ""Tableau""]",2024-02-10
J00028,CO0182,Senior Media Role,Senior,"Denver, CO",Media,155573,118000,158000,"[""docker"", ""java"", ""excel"", ""R programming"", ""agile""]","[""Docker"", ""Java"", ""Excel"", ""R"", ""Project Management""]",2024-02-22
J00029,CO0004,Mid Finance Role,Mid,"Boston, MA",Finance,98701,87000,122000,"[""Machine Learning"", ""pytorch""]","[""Machine Learning"", ""TensorFlow""]",2024-01-07
J00030,CO0031,Entry Retail Role,Entry,"Austin, TX",Retail,78238,70000,95000,"[""excel"", ""natural language processing"", ""Cloud"", ""py"", ""Data Analysis""]","[""Excel"", ""NLP"", ""Cloud"", ""Python"", ""Data Analysis""]",2024-01-09
J00031,CO0002,Entry Finance Role,Entry,Remote,Finance,67171,53000,78000,"[""Machine Learning"", ""dataviz""]","[""Machine Learning"", ""Tableau""]",2024-02-21
J00032,CO0130,Entry Energy Role,Entry,"Los Angeles, CA",Energy,73946,55000,80000,"[""react"", ""Project Management"", ""java"", ""Tableau""]","[""JavaScript"", ""Project Management"", ""Java"", ""Tableau""]",2024-01-02
J00033,CO0156,Entry Consulting Role,Entry,"San Francisco, CA",Consulting,83998,70000,95000,"[""communication"", ""project management"", ""Python"", ""R""]","[""Communication"", ""Project Management"", ""Python"", ""R""]",2024-03-01
J00034,CO0164,Lead Education Role,Lead,"New York, NY",Education,175766,158000,218000,"[""ML"", ""react"", ""Python"", ""gcp""]","[""Machine Learning"", ""JavaScript"", ""Python"", ""Cloud""]",2024-01-22
J00035,CO0092,Lead Transportation Role,Lead,"Los Angeles, CA",Transportation,162184,155000,215000,"[""node.js"", ""r"", ""pytorch"", ""sql"", ""Excel""]","[""JavaScript"", ""R"", ""TensorFlow"", ""SQL"", ""Excel""]",2024-02-12
J00036,CO0153,Senior Finance Role,Senior,"Atlanta, GA",Finance,141672,115000,155000,"[""java"", ""Leadership""]","[""Java"", ""Leadership""]",2024-02-20
J00037,CO0158,Lead Transportation Role,Lead,"Chicago, IL",Transportation,185998,138000,198000,"[""Cloud"", ""Leadership"", ""docker"", ""Python3""]","[""Cloud"", ""Leadership"", ""Docker"", ""Python""]",2024-01-13
J00038,CO0190,Senior Retail Role,Senior,"Austin, TX",Retail,125166,115000,155000,"[""kubernetes"", ""Python3"", ""Statistics"", ""Java"", ""Data Analysis""]","[""Docker"", ""Python"", ""Statistics"", ""Java"", ""Data Analysis""]",2024-01-20
J00039,CO0182,Mid Media Role,Mid,"New York, NY",Media,127651,98000,133000,"[""Communication"", ""Statistics"", ""java"", ""analytics""]","[""Communication"", ""Statistics"", ""Java"", ""Data Analysis""]",2024-01-12
J00040,CO0146,Lead Retail Role,Lead,"San Francisco, CA",Retail,185938,175000,235000,"[""cloud"", ""scrum""]","[""Cloud"", ""Project Management""]",2024-01-09
J00041,CO0134,Senior Energy Role,Senior,"New York, NY",Energy,147329,123000,163000,"[""JavaScript"", ""Machine Learning"", ""Java"", ""Excel"", ""agile""]","[""JavaScript"", ""Machine Learning"", ""Java"", ""Excel"", ""Project Management""]",2024-01-27
J00042,CO0072,Senior Consulting Role,Senior,"Seattle, WA",Consulting,165872,140000,180000,"[""TensorFlow"", ""javascript"", ""R""]","[""TensorFlow"", ""JavaScript"", ""R""]",2024-02-27
J00043,CO0046,Senior Media Role,Senior,"San Francisco, CA",Media,180838,145000,185000,"[""python"", ""AWS"", ""R"", ""statistical analysis"", ""presentation""]","[""Python"", ""Cloud"", ""R"", ""Statistics"", ""Communication""]",2024-02-07
J00044,CO0133,Lead Energy Role,Lead,"Boston, MA",Energy,193251,152000,212000,"[""Java"", ""excel"", ""natural language processing""]","[""Java"", ""Excel"", ""NLP""]",2024-02-29
J00045,CO0029,Lead Healthcare Role,Lead,"Seattle, WA",Healthcare,168131,160000,220000,"[""MySQL"", ""Python"", ""statistical analysis"", ""R programming"", ""Data Analysis""]","[""SQL"", ""Python"", ""Statistics"", ""R"", ""Data Analysis""]",2024-02-17
J00046,CO0146,Senior Retail Role,Senior,"San Francisco, CA",Retail,147107,145000,185000,"[""Cloud"", ""data analytics"", ""natural language processing"", ""Java"", ""deep learning""]","[""Cloud"", ""Data Analysis"", ""NLP"", ""Java"", ""Machine Learning""]",2024-01-16
J00047,CO0030,Senior Consulting Role,Senior,"Chicago, IL",Consulting,124304,118000,158000,"[""java"", ""natural language processing"", ""project management""]","[""Java"", ""NLP"", ""Project Management""]",2024-03-01
J00048,CO0023,Lead Retail Role,Lead,"Boston, MA",Retail,209932,157000,217000,"[""Docker"", ""nlp"", ""Project Management"", ""PostgreSQL""]","[""Docker"", ""NLP"", ""Project Management"", ""SQL""]",2024-01-19
J00049,CO0050,Lead Manufacturing Role,Lead,"Atlanta, GA",Manufacturing,187474,135000,195000,"[""people management"", ""ML"", ""TensorFlow""]","[""Leadership"", ""Machine Learning"", ""TensorFlow""]",2024-01-30
J00050,CO0061,Entry Technology Role,Entry,"New York, NY",Technology,81256,68000,93000,"[""r"", ""NLP"", ""Tableau"", ""AI/ML""]","[""R"", ""NLP"", ""Tableau"", ""Machine Learning""]",2024-02-20
J00051,CO0165,Entry Manufacturing Role,Entry,"Chicago, IL",Manufacturing,76261,53000,78000,"[""tf"", ""Communication"", ""machine learning"", ""gcp""]","[""TensorFlow"", ""Communication"", ""Machine Learning"", ""Cloud""]",2024-02-16
J00052,CO0140,Senior Education Role,Senior,"Atlanta, GA",Education,149857,110000,150000,"[""data analysis"", ""java"", ""pytorch"", ""statistical analysis"", ""R programming""]","[""Data Analysis"", ""Java"", ""TensorFlow"", ""Statistics"", ""R""]",2024-02-08
J00053,CO0003,Mid Retail Role,Mid,"San Francisco, CA",Retail,118588,90000,125000,"[""Python"", ""PM""]","[""Python"", ""Project Management""]",2024-02-03
J00054,CO0008,Lead Healthcare Role,Lead,"Denver, CO",Healthcare,187869,158000,218000,"[""statistics"", ""TensorFlow"", ""Communication""]","[""Statistics"", ""TensorFlow"", ""Communication""]",2024-01-16
J00055,CO0142,Senior Transportation Role,Senior,"New York, NY",Transportation,144526,133000,173000,"[""Communication"", ""text mining"", ""stats"", ""Leadership""]","[""Communication"", ""NLP"", ""Statistics"", ""Leadership""]",2024-01-23
J00056,CO0018,Entry Retail Role,Entry,"Chicago, IL",Retail,67771,58000,83000,"[""spreadsheets"", ""Communication""]","[""Excel"", ""Communication""]",2024-02-12
J00057,CO0071,Lead Finance Role,Lead,"Boston, MA",Finance,211140,152000,212000,"[""analytics"", ""dataviz""]","[""Data Analysis"", ""Tableau""]",2024-01-13
J00058,CO0133,Senior Energy Role,Senior,"San Francisco, CA",Energy,148318,130000,170000,"[""nlp"", ""Python3""]","[""NLP"", ""Python""]",2024-02-09
J00059,CO0054,Senior Education Role,Senior,"Los Angeles, CA",Education,144581,120000,160000,"[""SQL"", ""scrum"", ""Excel"", ""Statistics"", ""dataviz""]","[""SQL"", ""Project Management"", ""Excel"", ""Statistics"", ""Tableau""]",2024-01-27
J00060,CO0080,Mid Retail Role,Mid,"Boston, MA",Retail,108499,82000,117000,"[""analytics"", ""statistical analysis"", ""javascript"", ""AWS"", ""Java""]","[""Data Analysis"", ""Statistics"", ""JavaScript"", ""Cloud"", ""Java""]",2024-01-15
J00061,CO0019,Entry Media Role,Entry,"Austin, TX",Media,79261,55000,80000,"[""Python3"", ""tensorflow""]","[""Python"", ""TensorFlow""]",2024-02-17
J00062,CO0182,Mid Media Role,Mid,"Denver, CO",Media,107735,83000,118000,"[""PostgreSQL"", ""project management""]","[""SQL"", ""Project Management""]",2024-01-15
J00063,CO0182,Mid Media Role,Mid,"Los Angeles, CA",Media,105369,90000,125000,"[""SQL"", ""Python3"", ""statistics"", ""spreadsheets"", ""leadership""]","[""SQL"", ""Python"", ""Statistics"", ""Excel"", ""Leadership""]",2024-02-24
J00064,CO0115,Senior Healthcare Role,Senior,"Austin, TX",Healthcare,120481,110000,150000,"[""Leadership"", ""scrum""]","[""Leadership"", ""Project Management""]",2024-01-25
J00065,CO0183,Lead Retail Role,Lead,"Chicago, IL",Retail,147653,143000,203000,"[""stats"", ""excel"", ""pytorch"", ""R""]","[""Statistics"", ""Excel"", ""TensorFlow"", ""R""]",2024-02-08
J00066,CO0007,Lead Manufacturing Role,Lead,"San Francisco, CA",Manufacturing,173476,165000,225000,"[""pytorch"", ""communication"", ""text mining"", ""js"", ""R""]","[""TensorFlow"", ""Communication"", ""NLP"", ""JavaScript"", ""R""]",2024-02-02
J00067,CO0124,Entry Consulting Role,Entry,"Seattle, WA",Consulting,83718,70000,95000,"[""data analysis"", ""Python3""]","[""Data Analysis"", ""Python""]",2024-02-01
J00068,CO0088,Mid Finance Role,Mid,"Boston, MA",Finance,115294,82000,117000,"[""Java"", ""Machine Learning"", ""leadership"", ""agile""]","[""Java"", ""Machine Learning"", ""Leadership"", ""Project Management""]",2024-01-23
J00069,CO0100,Mid Finance Role,Mid,"Atlanta, GA",Finance,86151,75000,110000,"[""python"", ""MySQL"", ""Leadership"", ""NLP""]","[""Python"", ""SQL"", ""Leadership"", ""NLP""]",2024-02-29
J00070,CO0071,Mid Finance Role,Mid,"Seattle, WA",Finance,96673,90000,125000,"[""kubernetes"", ""Tableau""]","[""Docker"", ""Tableau""]",2024-01-22
J00071,CO0175,Senior Consulting Role,Senior,"Seattle, WA",Consulting,179069,140000,180000,"[""Cloud"", ""statistical analysis"", ""python"", ""TensorFlow"", ""scrum""]","[""Cloud"", ""Statistics"", ""Python"", ""TensorFlow"", ""Project Management""]",2024-01-06
J00072,CO0135,Entry Transportation Role,Entry,"Austin, TX",Transportation,72958,70000,95000,"[""data analytics"", ""python"", ""NLP""]","[""Data Analysis"", ""Python"", ""NLP""]",2024-01-19
J00073,CO0165,Mid Manufacturing Role,Mid,"Chicago, IL",Manufacturing,99291,78000,113000,"[""ML"", ""kubernetes"", ""cloud""]","[""Machine Learning"", ""Docker"", ""Cloud""]",2024-02-10
J00074,CO0041,Mid Energy Role,Mid,"Atlanta, GA",Energy,81225,75000,110000,"[""communication"", ""tf"", ""agile"", ""data analytics""]","[""Communication"", ""TensorFlow"", ""Project Management"", ""Data Analysis""]",2024-02-29
J00075,CO0071,Senior Finance Role,Senior,"Boston, MA",Finance,130391,122000,162000,"[""js"", ""SQL"", ""text mining"", ""spreadsheets"", ""Statistics""]","[""JavaScript"", ""SQL"", ""NLP"", ""Excel"", ""Statistics""]",2024-02-05
J00076,CO0138,Lead Transportation Role,Lead,"Los Angeles, CA",Transportation,171692,150000,210000,"[""data visualization"", ""Docker"", ""machine learning"", ""communication""]","[""Tableau"", ""Docker"", ""Machine Learning"", ""Communication""]",2024-02-13
J00077,CO0074,Entry Manufacturing Role,Entry,Remote,Manufacturing,62255,58000,83000,"[""k8s"", ""Java""]","[""Docker"", ""Java""]",2024-01-25
J00078,CO0022,Mid Consulting Role,Mid,"Chicago, IL",Consulting,85650,78000,113000,"[""PostgreSQL"", ""R""]","[""SQL"", ""R""]",2024-01-31
J00079,CO0107,Mid Energy Role,Mid,"Austin, TX",Energy,84796,80000,115000,"[""Java"", ""AI/ML"", ""people management"", ""Data Analysis""]","[""Java"", ""Machine Learning"", ""Leadership"", ""Data Analysis""]",2024-01-19
J00080,CO0170,Entry Energy Role,Entry,"Boston, MA",Energy,91118,77000,102000,"[""Java"", ""node.js"", ""dataviz"", ""cloud""]","[""Java"", ""JavaScript"", ""Tableau"", ""Cloud""]",2024-01-17
J00081,CO0086,Lead Manufacturing Role,Lead,"San Francisco, CA",Manufacturing,200974,160000,220000,"[""stats"", ""java"", ""JavaScript"", ""pytorch""]","[""Statistics"", ""Java"", ""JavaScript"", ""TensorFlow""]",2024-01-16
J00082,CO0060,Mid Consulting Role,Mid,"Denver, CO",Consulting,105085,73000,108000,"[""Data Analysis"", ""kubernetes"", ""py"", ""sql""]","[""Data Analysis"", ""Docker"", ""Python"", ""SQL""]",2024-01-17
J00083,CO0031,Lead Retail Role,Lead,"Austin, TX",Retail,176625,160000,220000,"[""python"", ""js"", ""Excel"", ""tableau""]","[""Python"", ""JavaScript"", ""Excel"", ""Tableau""]",2024-01-29
J00084,CO0153,Lead Finance Role,Lead,"Atlanta, GA",Finance,179470,145000,205000,"[""kubernetes"", ""presentation"", ""spreadsheets"", ""R programming"", ""PostgreSQL""]","[""Docker"", ""Communication"", ""Excel"", ""R"", ""SQL""]",2024-01-02
J00085,CO0000,Entry Finance Role,Entry,"Austin, TX",Finance,53682,50000,75000,"[""analytics"", ""pytorch"", ""MySQL""]","[""Data Analysis"", ""TensorFlow"", ""SQL""]",2024-02-17
J00086,CO0031,Mid Retail Role,Mid,"Chicago, IL",Retail,116850,93000,128000,"[""Java"", ""pytorch"", ""react"", ""spreadsheets"", ""py""]","[""Java"", ""TensorFlow"", ""JavaScript"", ""Excel"", ""Python""]",2024-01-20
J00087,CO0091,Mid Finance Role,Mid,Remote,Finance,102428,98000,133000,"[""deep learning"", ""Statistics""]","[""Machine Learning"", ""Statistics""]",2024-02-29
J00088,CO0118,Lead Media Role,Lead,"Austin, TX",Media,179615,140000,200000,"[""natural language processing"", ""ML""]","[""NLP"", ""Machine Learning""]",2024-02-18
J00089,CO0069,Mid Manufacturing Role,Mid,"New York, NY",Manufacturing,111772,88000,123000,"[""communication"", ""Java"", ""nlp""]","[""Communication"", ""Java"", ""NLP""]",2024-02-13
J00090,CO0143,Mid Energy Role,Mid,"Seattle, WA",Energy,115599,95000,130000,"[""Java"", ""PostgreSQL"", ""Python3"", ""leadership"", ""TensorFlow""]","[""Java"", ""SQL"", ""Python"", ""Leadership"", ""TensorFlow""]",2024-01-06
J00091,CO0182,Mid Media Role,Mid,"Boston, MA",Media,123630,92000,127000,"[""react"", ""statistical analysis"", ""cloud"", ""spreadsheets""]","[""JavaScript"", ""Statistics"", ""Cloud"", ""Excel""]",2024-01-11
J00092,CO0081,Senior Energy Role,Senior,"Los Angeles, CA",Energy,168132,135000,175000,"[""py"", ""pytorch""]","[""Python"", ""TensorFlow""]",2024-01-27
J00093,CO0106,Senior Education Role,Senior,"Austin, TX",Education,137751,115000,155000,"[""py"", ""Data Analysis"", ""spreadsheets"", ""k8s"", ""Cloud""]","[""Python"", ""Data Analysis"", ""Excel"", ""Docker"", ""Cloud""]",2024-01-23
J00094,CO0064,Senior Manufacturing Role,Senior,"Denver, CO",Manufacturing,136710,113000,153000,"[""R programming"", ""spreadsheets"", ""stats""]","[""R"", ""Excel"", ""Statistics""]",2024-01-29
J00095,CO0099,Mid Energy Role,Mid,"Denver, CO",Energy,103506,78000,113000,"[""postgres"", ""excel"", ""tensorflow"", ""Leadership"", ""ML""]","[""SQL"", ""Excel"", ""TensorFlow"", ""Leadership"", ""Machine Learning""]",2024-02-21
J00096,CO0021,Entry Finance Role,Entry,"Austin, TX",Finance,65789,55000,80000,"[""AWS"", ""r"", ""analytics"", ""agile""]","[""Cloud"", ""R"", ""Data Analysis"", ""Project Management""]",2024-01-22
J00097,CO0193,Lead Manufacturing Role,Lead,"Austin, TX",Manufacturing,192292,150000,210000,"[""leadership"", ""js"", ""SQL"", ""Cloud""]","[""Leadership"", ""JavaScript"", ""SQL"", ""Cloud""]",2024-02-12
J00098,CO0144,Senior Media Role,Senior,"Boston, MA",Media,171375,137000,177000,"[""project management"", ""data analysis"", ""dataviz"", ""Leadership""]","[""Project Management"", ""Data Analysis"", ""Tableau"", ""Leadership""]",2024-01-13
J00099,CO0080,Senior Retail Role,Senior,"Denver, CO",Retail,112949,108000,148000,"[""R programming"", ""project management"", ""NLP"", ""Excel""]","[""R"", ""Project Management"", ""NLP"", ""Excel""]",2024-01-25
J00100,CO0081,Senior Energy Role,Senior,"Los Angeles, CA",Energy,159615,135000,175000,"[""dataviz"", ""data analysis"", ""presentation""]","[""Tableau"", ""Data Analysis"", ""Communication""]",2024-01-09
J00101,CO0035,Entry Retail Role,Entry,"San Francisco, CA",Retail,78633,65000,90000,"[""Data Analysis"", ""communication"", ""docker"", ""data visualization"", ""react""]","[""Data Analysis"", ""Communication"", ""Docker"", ""Tableau"", ""JavaScript""]",2024-02-01
J00102,CO0090,Mid Consulting Role,Mid,"Seattle, WA",Consulting,94319,85000,120000,"[""NLP"", ""dataviz""]","[""NLP"", ""Tableau""]",2024-01-09
J00103,CO0109,Senior Manufacturing Role,Senior,"San Francisco, CA",Manufacturing,152504,135000,175000,"[""Statistics"", ""Data Analysis""]","[""Statistics"", ""Data Analysis""]",2024-01-04
J00104,CO0143,Lead Energy Role,Lead,"Seattle, WA",Energy,209364,160000,220000,"[""SQL"", ""R"", ""Communication""]","[""SQL"", ""R"", ""Communication""]",2024-02-20
J00105,CO0045,Mid Education Role,Mid,Remote,Education,109363,78000,113000,"[""azure"", ""JavaScript"", ""spreadsheets"", ""nlp"", ""java""]","[""Cloud"", ""JavaScript"", ""Excel"", ""NLP"", ""Java""]",2024-02-24
J00106,CO0077,Mid Consulting Role,Mid,"Denver, CO",Consulting,92142,78000,113000,"[""excel"", ""azure"", ""agile"", ""communication"", ""machine learning""]","[""Excel"", ""Cloud"", ""Project Management"", ""Communication"", ""Machine Learning""]",2024-01-29
J00107,CO0193,Entry Manufacturing Role,Entry,Remote,Manufacturing,80843,63000,88000,"[""R programming"", ""docker""]","[""R"", ""Docker""]",2024-01-25
J00108,CO0174,Lead Finance Role,Lead,"Denver, CO",Finance,163915,143000,203000,"[""Leadership"", ""text mining"", ""r""]","[""Leadership"", ""NLP"", ""R""]",2024-02-05
J00109,CO0167,Entry Transportation Role,Entry,Remote,Transportation,93054,73000,98000,"[""pytorch"", ""communication"", ""Cloud"", ""people management"", ""statistical analysis""]","[""TensorFlow"", ""Communication"", ""Cloud"", ""Leadership"", ""Statistics""]",2024-01-31
J00110,CO0087,Mid Education Role,Mid,"Seattle, WA",Education,89338,85000,120000,"[""R"", ""dataviz""]","[""R"", ""Tableau""]",2024-01-11
J00111,CO0098,Mid Education Role,Mid,"Atlanta, GA",Education,96906,75000,110000,"[""Docker"", ""js"", ""Cloud""]","[""Docker"", ""JavaScript"", ""Cloud""]",2024-02-14
J00112,CO0067,Lead Finance Role,Lead,"Los Angeles, CA",Finance,181955,145000,205000,"[""Docker"", ""statistics"", ""nlp"", ""dataviz"", ""excel""]","[""Docker"", ""Statistics"", ""NLP"", ""Tableau"", ""Excel""]",2024-01-30
J00113,CO0073,Mid Retail Role,Mid,"Los Angeles, CA",Retail,104327,85000,120000,"[""statistical analysis"", ""natural language processing"", ""Cloud""]","[""Statistics"", ""NLP"", ""Cloud""]",2024-02-13
J00114,CO0149,Lead Energy Role,Lead,"Denver, CO",Energy,186431,143000,203000,"[""excel"", ""gcp""]","[""Excel"", ""Cloud""]",2024-02-24
J00115,CO0196,Lead Technology Role,Lead,"Austin, TX",Technology,166077,140000,200000,"[""Communication"", ""Docker"", ""azure""]","[""Communication"", ""Docker"", ""Cloud""]",2024-02-12
J00116,CO0098,Mid Education Role,Mid,"Atlanta, GA",Education,96013,75000,110000,"[""js"", ""Cloud"", ""people management"", ""natural language processing"", ""project management""]","[""JavaScript"", ""Cloud"", ""Leadership"", ""NLP"", ""Project Management""]",2024-01-13
J00117,CO0192,Entry Retail Role,Entry,"Boston, MA",Retail,74095,67000,92000,"[""Python3"", ""analytics""]","[""Python"", ""Data Analysis""]",2024-01-13
J00118,CO0108,Lead Consulting Role,Lead,"Atlanta, GA",Consulting,147991,145000,205000,"[""text mining"", ""leadership""]","[""NLP"", ""Leadership""]",2024-02-03
J00119,CO0028,Entry Manufacturing Role,Entry,"Chicago, IL",Manufacturing,89844,68000,93000,"[""tableau"", ""Project Management"", ""Statistics"", ""Python"", ""MySQL""]","[""Tableau"", ""Project Management"", ""Statistics"", ""Python"", ""SQL""]",2024-01-28
J00120,CO0099,Senior Energy Role,Senior,"Austin, TX",Energy,144298,115000,155000,"[""Leadership"", ""analytics"", ""Python3""]","[""Leadership"", ""Data Analysis"", ""Python""]",2024-01-02
J00121,CO0071,Lead Finance Role,Lead,Remote,Finance,176496,148000,208000,"[""PM"", ""nlp"", ""pytorch""]","[""Project Management"", ""NLP"", ""TensorFlow""]",2024-03-01
J00122,CO0144,Senior Media Role,Senior,"Chicago, IL",Media,128147,128000,168000,"[""tf"", ""cloud"", ""Python"", ""deep learning""]","[""TensorFlow"", ""Cloud"", ""Python"", ""Machine Learning""]",2024-01-19
J00123,CO0098,Entry Education Role,Entry,"Atlanta, GA",Education,56749,50000,75000,"[""communication"", ""ML"", ""excel"", ""statistical analysis""]","[""Communication"", ""Machine Learning"", ""Excel"", ""Statistics""]",2024-01-29
J00124,CO0111,Mid Technology Role,Mid,"Austin, TX",Technology,77348,75000,110000,"[""deep learning"", ""R programming""]","[""Machine Learning"", ""R""]",2024-02-07
J00125,CO0102,Senior Education Role,Senior,Remote,Education,156169,123000,163000,"[""leadership"", ""excel""]","[""Leadership"", ""Excel""]",2024-02-06
J00126,CO0020,Lead Media Role,Lead,"Los Angeles, CA",Media,203466,150000,210000,"[""statistical analysis"", ""java"", ""tf""]","[""Statistics"", ""Java"", ""TensorFlow""]",2024-02-19
J00127,CO0158,Mid Transportation Role,Mid,"Chicago, IL",Transportation,84825,73000,108000,"[""communication"", ""statistics"", ""Python3"", ""AI/ML""]","[""Communication"", ""Statistics"", ""Python"", ""Machine Learning""]",2024-02-10
J00128,CO0005,Entry Education Role,Entry,"New York, NY",Education,85694,63000,88000,"[""python"", ""statistics"", ""spreadsheets""]","[""Python"", ""Statistics"", ""Excel""]",2024-01-13
J00129,CO0080,Entry Retail Role,Entry,"Denver, CO",Retail,69863,48000,73000,"[""javascript"", ""tensorflow"", ""leadership""]","[""JavaScript"", ""TensorFlow"", ""Leadership""]",2024-02-12
J00130,CO0128,Mid Consulting Role,Mid,"San Francisco, CA",Consulting,122556,95000,130000,"[""analytics"", ""R programming""]","[""Data Analysis"", ""R""]",2024-01-31
