company_id,name,industry,size,headquarters
CO0042,Company_42,Finance,Mid-Market,"Atlanta, GA"
CO0043,Company_43,Transportation,SMB,"Seattle, WA"
CO0044,Company_44,Media,SMB,"Atlanta, GA"
CO0045,Company_45,Education,Startup,Remote
CO0046,Company_46,Media,Enterprise,"San Francisco, CA"
CO0047,Company_47,Finance,Mid-Market,"Los Angeles, CA"
CO0048,Company_48,Consulting,Startup,"Boston, MA"
CO0049,Company_49,Transportation,Startup,"New York, NY"
CO0050,Company_50,Manufacturing,Startup,"Atlanta, GA"
CO0051,Company_51,Healthcare,SMB,"Chicago, IL"
CO0052,Company_52,Education,SMB,"Los Angeles, CA"
CO0053,Company_53,Education,Enterprise,"Boston, MA"
CO0054,Company_54,Education,SMB,"Los Angeles, CA"
CO0055,Company_55,Retail,Mid-Market,"Chicago, IL"
CO0056,Company_56,Education,Enterprise,"New York, NY"
CO0057,Company_57,Consulting,SMB,"New York, NY"
CO0058,Company_58,Media,Startup,Remote
CO0059,Company_59,Education,SMB,Remote
CO0060,Company_60,Consulting,Startup,"New York, NY"
CO0061,Company_61,Technology,SMB,"New York, NY"
CO0062,Company_62,Technology,Mid-Market,"New York, NY"
CO0063,Company_63,Education,SMB,"Los Angeles, CA"
CO0064,Company_64,Manufacturing,SMB,"Atlanta, GA"
CO0065,Company_65,Healthcare,Enterprise,"Boston, MA"
CO0066,Company_66,Manufacturing,Enterprise,"Boston, MA"
CO0067,Company_67,Finance,Startup,"Denver, CO"
CO0068,Company_68,Media,Enterprise,"Denver, CO"
CO0069,Company_69,Manufacturing,Startup,"New York, NY"
CO0070,Company_70,Technology,Enterprise,"Austin, TX"
CO0071,Company_71,Finance,SMB,"Boston, MA"
CO0072,Company_72,Consulting,Enterprise,"Seattle, WA"
CO0073,Company_73,Retail,SMB,"Los Angeles, CA"
CO0074,Company_74,Manufacturing,SMB,"New York, NY"
CO0075,Company_75,Manufacturing,Startup,"San Francisco, CA"
CO0076,Company_76,Education,Startup,"New York, NY"
CO0077,Company_77,Consulting,SMB,"Denver, CO"
CO0078,Company_78,Manufacturing,Enterprise,"Boston, MA"
CO0079,Company_79,Retail,Startup,"Seattle, WA"
CO0080,Company_80,Retail,Startup,"Denver, CO"
CO0081,Company_81,Energy,Enterprise,"Los Angeles, CA"
CO0082,Company_82,Retail,Enterprise,"Seattle, WA"
CO0083,Company_83,Consulting,Mid-Market,"Boston, MA"
CO0084,Company_84,Technology,Startup,"Austin, TX"
CO0085,Company_85,Technology,Startup,Remote
CO0086,Company_86,Manufacturing,SMB,"San Francisco, CA"
CO0087,Company_87,Education,Startup,"Seattle, WA"
CO0088,Company_88,Finance,Startup,"Boston, MA"
CO0089,Company_89,Retail,Startup,Remote
CO0090,Company_90,Consulting,Startup,Remote
CO0091,Company_91,Finance,Enterprise,Remote
CO0092,Company_92,Transportation,Mid-Market,"Los Angeles, CA"
CO0093,Company_93,Consulting,Mid-Market,"Boston, MA"
CO0094,Company_94,Energy,Enterprise,"Seattle, WA"
CO0095,Company_95,Energy,Enterprise,"Austin, TX"
CO0096,Company_96,Finance,Startup,"Chicago, IL"
CO0097,Company_97,Transportation,Startup,"New York, NY"
CO0098,Company_98,Education,SMB,"Atlanta, GA"
CO0099,Company_99,Energy,SMB,"Austin, TX"
CO0100,Company_100,Finance,SMB,"Austin, TX"
CO0101,Company_101,Energy,SMB,"Chicago, IL"
CO0102,Company_102,Education,Mid-Market,Remote
CO0103,Company_103,Education,Startup,"Atlanta, GA"
CO0104,Company_104,Energy,Startup,"Seattle, WA"
CO0105,Company_105,Energy,Startup,"New York, NY"
CO0106,Company_106,Education,SMB,"Los Angeles, CA"
CO0107,Company_107,Energy,SMB,"Austin, TX"
CO0108,Company_108,Consulting,Mid-Market,"Atlanta, GA"
CO0109,Company_109,Manufacturing,Mid-Market,"San Francisco, CA"
CO0110,Company_110,Finance,Enterprise,"Los Angeles, CA"
CO0111,Company_111,Technology,Startup,"Austin, TX"
CO0112,Company_112,Healthcare,Mid-Market,"Seattle, WA"
CO0113,Company_113,Manufacturing,Enterprise,"Atlanta, GA"
CO0114,Company_114,Technology,Startup,"New York, NY"
CO0115,Company_115,Healthcare,Startup,"Austin, TX"
CO0116,Company_116,Transportation,SMB,"Denver, CO"
CO0117,Company_117,Healthcare,Startup,"Los Angeles, CA"
CO0118,Company_118,Media,Startup,"Austin, TX"
CO0119,Company_119,Consulting,SMB,"New York, NY"
CO0120,Company_120,Media,Enterprise,Remote
CO0121,Company_121,Healthcare,SMB,"Seattle, WA"
CO0122,Company_122,Healthcare,Enterprise,"San Francisco, CA"
CO0123,Company_123,Healthcare,Mid-Market,"Denver, CO"
CO0124,Company_124,Consulting,Mid-Market,"Seattle, WA"
CO0125,Company_125,Finance,Enterprise,"San Francisco, CA"
CO0126,Company_126,Manufacturing,SMB,"Boston, MA"
CO0127,Company_127,Manufacturing,Mid-Market,"Los Angeles, CA"
CO0128,Company_128,Consulting,SMB,"San Francisco, CA"
CO0129,Company_129,Consulting,Enterprise,"Austin, TX"
CO0130,Company_130,Energy,Startup,"Los Angeles, CA"
CO0131,Company_131,Media,Enterprise,"Atlanta, GA"
CO0132,Company_132,Media,Startup,"New York, NY"
CO0133,Company_133,Energy,SMB,Remote
CO0134,Company_134,Energy,Startup,"New York, NY"
CO0135,Company_135,Transportation,Enterprise,"Austin, TX"
CO0136,Company_136,Media,Enterprise,Remote
CO0137,Company_137,Education,Startup,"Denver, CO"
CO0138,Company_138,Transportation,SMB,"Los Angeles, CA"
CO0139,Company_139,Technology,Enterprise,"San Francisco, CA"
CO0140,Company_140,Education,SMB,"Austin, TX"
CO0141,Company_141,Retail,Startup,"Austin, TX"
CO0142,Company_142,Transportation,Mid-Market,"New York, NY"
CO0143,Company_143,Energy,Mid-Market,"Denver, CO"
CO0144,Company_144,Media,Enterprise,"Los Angeles, CA"
CO0145,Company_145,Education,SMB,"Boston, MA"
CO0146,Company_146,Retail,Enterprise,"Seattle, WA"
CO0147,Company_147,Transportation,Mid-Market,"Denver, CO"
CO0148,Company_148,Education,Startup,"Los Angeles, CA"
CO0149,Company_149,Energy,SMB,"Denver, CO"
CO0150,Company_150,Transportation,Mid-Market,"Chicago, IL"
CO0151,Company_151,Manufacturing,Enterprise,"Boston, MA"
CO0152,Company_152,Education,Enterprise,"Seattle, WA"
CO0153,Company_153,Finance,Mid-Market,"Atlanta, GA"
CO0154,Company_154,Transportation,Mid-Market,"New York, NY"
CO0155,Company_155,Consulting,Mid-Market,"Boston, MA"
CO0156,Company_156,Consulting,SMB,"San Francisco, CA"
CO0157,Company_157,Technology,SMB,"Chicago, IL"
CO0158,Company_158,Transportation,Startup,"Chicago, IL"
CO0159,Company_159,Retail,SMB,"Denver, CO"
CO0160,Company_160,Manufacturing,Enterprise,"Boston, MA"
CO0161,Company_161,Healthcare,Startup,"New York, NY"
CO0162,Company_162,Retail,SMB,"Seattle, WA"
CO0163,Company_163,Education,Enterprise,"San Francisco, CA"
CO0164,Company_164,Education,SMB,"New York, NY"
CO0165,Company_165,Manufacturing,SMB,"Chicago, IL"
CO0166,Company_166,Education,Mid-Market,"Chicago, IL"
CO0167,Company_167,Transportation,Enterprise,"Atlanta, GA"
CO0168,Company_168,Manufacturing,SMB,"Chicago, IL"
CO0169,Company_169,Manufacturing,Mid-Market,"Boston, MA"
CO0170,Company_170,Energy,Enterprise,"Boston, MA"
CO0171,Company_171,Energy,Enterprise,"New York, NY"
CO0172,Company_172,Energy,SMB,"Los Angeles, CA"
CO0173,Company_173,Media,Mid-Market,"Atlanta, GA"
CO0174,Company_174,Finance,SMB,"Seattle, WA"
CO0175,Company_175,Consulting,Enterprise,"Seattle, WA"
CO0176,Company_176,Consulting,Startup,"Denver, CO"
CO0177,Company_177,Retail,Mid-Market,"Atlanta, GA"
CO0178,Company_178,Manufacturing,Enterprise,"San Francisco, CA"
CO0179,Company_179,Consulting,Enterprise,"Denver, CO"
CO0180,Company_180,Transportation,Startup,Remote
CO0181,Company_181,Retail,Enterprise,"San Francisco, CA"
CO0182,Company_182,Media,Mid-Market,"Denver, CO"
CO0183,Company_183,Retail,SMB,"Chicago, IL"
CO0184,Company_184,Consulting,Mid-Market,"Denver, CO"
CO0185,Company_185,Manufacturing,Startup,"Denver, CO"
CO0186,Company_186,Media,Enterprise,"Seattle, WA"
CO0187,Company_187,Manufacturing,SMB,Remote
CO0188,Company_188,Education,Startup,"Denver, CO"
CO0189,Company_189,Transportation,Startup,"New York, NY"
CO0190,Company_190,Retail,SMB,"Chicago, IL"
CO0191,Company_191,Healthcare,Startup,"Los Angeles, CA"
CO0192,Company_192,Retail,Mid-Market,"Boston, MA"
CO0193,Company_193,Manufacturing,Mid-Market,"Austin, TX"
CO0194,Company_194,Retail,Mid-Market,"Denver, CO"
CO0195,Company_195,Energy,Startup,"Chicago, IL"
CO0196,Company_196,Technology,Startup,"Austin, TX"
CO0197,Company_197,Consulting,Startup,"San Francisco, CA"
CO0198,Company_198,Technology,SMB,"Boston, MA"
CO0199,Company_199,Technology,SMB,"Boston, MA"
